Name,Category,Created,Tags,URL
'Operation Bean' | Commando Veterans Archive,Operation,3/6/19 17:22,"UK,Commando,Operations",http://www.commandoveterans.org/OperationBean1Commando
Operation Horse | Commando Veterans Archive,Operation,3/6/19 17:23,"UK,Commando,WWII,Operations",http://www.commandoveterans.org/OperationHorse
Operation Widgeon | Commando Veterans Archive,Operation,3/6/19 17:23,"Commando,Operations",http://www.commandoveterans.org/OperationWidgeon
Operation Roast | Commando Veterans Archive,Operation,3/6/19 17:24,"UK,Commando,WWII,Operations",http://www.commandoveterans.org/2CdoComacchio
Operation Impact Plain | Commando Veterans Archive,Operation,3/6/19 17:24,"UK,Commando,WWII,Operations",http://www.commandoveterans.org/OperationImpactPlain
Operation Impact Royal | Commando Veterans Archive,Operation,3/6/19 17:25,"UK,Commando,WWII,Operations",http://www.commandoveterans.org/OperationImpactRoyal
Operation Bottle | Commando Veterans Archive,Operation,3/6/19 17:25,"UK,Commando,WWII,Operations",http://www.commandoveterans.org/OperationBottle1Commando
How the SAS carried out 20 top secret WWII operations in Italy,Operation,3/7/19 7:32,"Commando,SAS",https://www.dailymail.co.uk/news/article-6403475/How-SAS-carried-20-secret-WWII-operations-Italy.html
SAS Operations WWII,Operation,3/7/19 7:45,"Commando,SAS,Operations",
The Operations – The Underwater Heritage Trust,Operation,3/7/19 17:21,Commando,https://www.underwatertrust.org.uk/the-operations/
Operations - Alexandria,Operation,3/7/19 17:24,"naval commandos,Xa Flottiglia MAS,Italy",http://www.regiamarina.net/detail_text_with_list.asp?nid=99&lid=1
Operations Gibraltar,Operation,3/7/19 17:24,"naval commandos,Xa Flottiglia MAS,Italy",http://www.regiamarina.net/detail_text_with_list.asp?nid=99&lid=1&cid=2
Operations Malta,Operation,3/7/19 17:25,"naval commandos,Xa Flottiglia MAS,Italy",http://www.regiamarina.net/detail_text_with_list.asp?nid=99&lid=1&cid=3
Operations New York,Operation,3/7/19 17:25,"naval commandos,Xa Flottiglia MAS,Italy",http://www.regiamarina.net/detail_text_with_list.asp?nid=99&lid=1&cid=4
Operations Suda Bay,Operation,3/7/19 17:26,"naval commandos,Xa Flottiglia MAS,Italy",http://www.regiamarina.net/detail_text_with_list.asp?nid=99&lid=1&cid=5
Operations Alexandretta and Mersin,Operation,3/7/19 17:27,"naval commandos,Xa Flottiglia MAS,Italy",http://www.regiamarina.net/detail_text_with_list.asp?nid=99&lid=1&cid=6
Airborne Operations During World War II,Operation,3/8/19 5:46,airborne,https://archive.is/20130208083021/http://www.historynet.com/magazines/world_war_2/3029386.html?page=4&c=y
"The struggle for North Africa, 1940-43 | National Army Museum",Operation,3/15/19 17:02,"UK,National Army Musuem",https://www.nam.ac.uk/explore/struggle-north-africa-1940-43
St Nazaire Raid - Wikipedia,Operation,3/20/19 8:35,Commando,https://en.m.wikipedia.org/wiki/St_Nazaire_Raid?wprov=sfti1
History - First Special Service Force,Unit,1/11/15 6:40,British Mandate,http://www.firstspecialserviceforce.com/history.html
SOE By Sanchia Berg,Unit,1/22/15 3:30,"SOE,British Mandate,Winston Churchill",http://news.bbc.co.uk/today/hi/today/newsid_7780000/7780476.stm
German Special Forces of World War II,Unit,2/19/16 5:06,Otto Skorzeny,
Commando 51 - Palestinians,Unit,5/11/16 7:52,"WWII,Commando 51",http://www.haaretz.co.il/blogs/sadna/1.2937367
Commando 51 British National Archives,Unit,3/31/17 4:11,"WWII,Commando 51,primary,British Mandate",http://discovery.nationalarchives.gov.uk/account/yourorders
British Commandos - Wikipedia,Unit,1/13/18 7:26,British commandos,https://en.wikipedia.org/wiki/British_Commandos
Popski's Private Army,Unit,1/25/18 6:51,"Biograhpical,SOE,WWII,British commandos,Popski,Winston Churchill,Vladimir Peniakoff",http://www.militaryhistoryonline.com/wwii/articles/popskisprivatearmy.aspx
SAARF – Special Allied Airborne Reconnaissance Force,Unit,1/25/18 6:53,WWII,http://www.militaryhistoryonline.com/wwii/articles/saarf.aspx
Decima Flottiglia MAS | Wikiwand,Unit,2/25/18 5:53,"Navy,WWII,Palyam,Decima Flottiglia MAS,Naval Units",https://www.wikiwand.com/en/Decima_Flottiglia_MAS
